_id,title,url,pub_date,price,area
ObjectId(585b8bad2514972708f213d2),【15图】迎元旦大降价X1cX240X230X220X201X200-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2468567628x.htm,12-16,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bad2514971a24fafb2b),【3图】华硕笔记本原装电池-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2447165262x.htm,12-01,150,"["" 北京"",""""]"
ObjectId(585b8bad2514972b6c5cf35f),【2图】北京无线电话靓号 无线座机 电信款无线商话固话靓号办理安装-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2485064561x.htm,12-09,350,"["" 北京"",""崇文""]"
ObjectId(585b8bad2514971b044bae99),"【6图】戴尔游侠,散热器,机械键盘鼠标-北京二手笔记本电脑-赶集网",http://bj.ganji.com/ershoubijibendiannao/2565168881x.htm,12-20,3200,"["" 北京"",""北京周边""]"
ObjectId(585b8bad2514971a24fafb2c),【转延庆一般纳税人商贸公司十万元版】-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2447560596x.htm,12-01,12,"["" 北京"",""海淀""]"
ObjectId(585b8bae2514972708f213d3),【15图】迎元旦大降价T440T430T420T410T400T60-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2476705840x.htm,12-16,3688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bae2514971a24fafb2d),【3图】(个人)德国进口笔记本出售-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2473576643x.htm,12-01,700,"["" 北京"",""海淀"",""中关村""]"
ObjectId(585b8bae2514972708f213d4),【15图】迎元旦大降价W530W520W510W500原装正品诚信经营-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2559598712x.htm,12-16,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8baf2514972b6c5cf360),【2图】99新的FAST牌150M无线路由器便宜出-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2459440302x.htm,12-09,50,"["" 北京"",""大兴"",""旧宫""]"
ObjectId(585b8baf2514971b044bae9a),【2图】笔记本电脑联想thinkpad该有都有直接可以使用-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2469956107x.htm,12-20,1300,"["" 北京"",""朝阳"",""北苑""]"
ObjectId(585b8baf2514972b6c5cf361),【图】惠普畅游人14al_126tx-北京二手惠普笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2454885408x.htm,12-06,3700,"["" 北京"",""海淀"",""中关村""]"
